time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-9.319281071768035e-08,-9.494735541409162e-08,10.004280777094753,6.282938892491231,6.282747740995283,0.0,1.311631847071463e-05,-1.475789957711649e-05,0.1426846690065215,-0.013940753594769702,-0.028781644360700305,0.0,451.0268807244161,448.6968269549401,451.17861429958157,450.0519518815289
0.12000000000000001,1.685750619918941e-05,-9.141644359301082e-06,10.017710040049986,6.282721406209173,6.281649405760584,0.0,0.0007028144269392413,-0.0003393669813600956,0.30492722221994784,0.011580217781071383,-0.0029259338090055504,0.0,455.06776088543546,457.13236730448057,455.3951285660783,457.43167345435756
0.18,9.169011476249506e-05,-3.612440214824024e-05,10.039125037481492,0.0005462460272012137,6.28134196067273,0.0,0.0018159121910189305,-0.00047088684644271004,0.4088739011153878,0.025687860882680637,-0.009929323093362672,0.0,438.6688899364134,438.08713165338645,437.566115987577,438.7387230101394
0.23999999999999996,0.00025272762111405955,-4.1787646951667326e-05,10.072650438502205,0.0015699496912784383,6.280372682107021,0.0,0.0036488178572015085,0.000466365892409643,0.7085019116587349,-0.012071588910894097,-0.03306483121503664,0.0,496.90097716902574,495.2023938590483,498.1985168107299,495.43037279390086
0.3,0.0005421357551771019,1.8284903147490364e-05,10.1196353777979,0.0003378144711243536,6.278170287477263,0.0,0.006225166978005417,0.0014411410853152615,0.8575616709187389,-0.04854886809155089,-0.04521922287903323,0.0,453.4996666317252,452.5218368919638,453.9241969931794,450.98768466465475
0.36000000000000004,0.0010509928804810404,0.00010136730504163206,10.177951856483585,6.281509842297641,6.275122134333932,0.0,0.011080261192989984,0.0010424349038495506,1.0861297262599172,-0.013694932283567468,-0.06533702045540962,0.0,477.5383986470511,475.9999595016985,475.3337199229916,477.9962875227846
0.4200000000000001,0.0018925303231533922,0.00012741410205072408,10.24556856041511,6.280936177834974,6.271204669085638,0.0,0.01735930229262376,-0.0002422523868349273,1.1676764963223303,-0.002363376539716492,-0.06519942456042202,0.0,431.73601484113453,431.7443377719555,432.2097434142004,433.1637198527795
0.48000000000000015,0.003193730562593771,6.660868172631228e-05,10.31840186080251,6.281013863683961,6.267200016369529,0.0,0.02641184412456152,-0.0017867347765307398,1.2599972243300586,0.007757883065217617,-0.07002632086826435,0.0,436.51789520896017,436.11152901068266,434.9646313619154,435.81131788838485
0.5400000000000001,0.00514783130894162,-8.615001524952012e-05,10.39839228036327,6.2818338542449546,6.263225089290927,0.0,0.03916594715646139,-0.0032326828122105555,1.4061737453653644,0.023435341553065654,-0.05960263027983007,0.0,452.5954502000046,453.4303153547666,452.2026373748864,453.4635292168587
0.6000000000000002,0.007955746722853029,-0.00030425523048580624,10.487329304816841,0.00016613940893783763,6.25999848234742,0.0,0.05479808356872417,-0.0038766616445909123,1.5581907170177969,0.028771206535577652,-0.04412534511926364,0.0,454.8352352829145,456.071061052244,454.5217095833277,454.9491951341472
0.6600000000000003,0.011708398837556849,-0.000527337346092136,10.582832192183899,0.0018385279966963708,6.258119625112499,0.0,0.0705001954971018,-0.0033943882401017353,1.625140110438334,0.02601395345823071,-0.01350823451254728,0.0,427.3762429944565,429.97712623248026,428.9761832243854,428.74223558514336
0.7200000000000003,0.016437630477708774,-0.0006884020370403928,10.682480493464093,0.0038266741283718986,6.25688287888633,0.0,0.08723184769130801,-0.0017984470267880222,1.6963632970347742,0.04452231365727491,-0.041216804359354625,0.0,431.0750705022092,428.7273029155708,430.0508494074216,431.6160511199149
0.7800000000000004,0.022215737759759498,-0.0007085480097343332,10.786935177817915,0.0062959836572318295,6.254248346637617,0.0,0.10562354261647626,0.001385278562007956,1.785315559181844,0.03339016572927929,-0.04992288117638284,0.0,436.1960660990946,435.4673146403717,437.2355577599894,436.3081186052871
0.8400000000000004,0.02920399127616964,-0.0004783511712865735,10.898464175013162,0.008244715139858805,6.251309963252375,0.0,0.12763399933114483,0.006501574644575951,1.9320686642623595,0.03059132852996881,-0.04713864314319769,0.0,455.15469008097585,455.37602284518823,454.19325965312794,453.9691228426553
0.9000000000000005,0.03755513708307862,9.556188266254947e-05,11.018117943495971,0.010291056882634209,6.248288875905972,0.0,0.15103786359457946,0.012832612699959351,2.0561615560719972,0.04034094847090444,-0.05770494435323166,0.0,448.63433115279577,447.77401547579916,447.8398463747936,448.6325822238385
0.9600000000000005,0.04746399948389957,0.0011213970656094201,11.147658671728326,0.012681030502212032,6.245116579132208,0.0,0.17963170683820084,0.02164037400102208,2.2614599540154465,0.03879719020180128,-0.044632355700973125,0.0,473.0170724556273,474.0209662016331,473.05046685704656,472.93228640187164
1.0200000000000005,0.05921539690687367,0.0027510325985810676,11.290927548289595,0.015228507486368947,6.242462521648324,0.0,0.21239260395242673,0.032978278617545924,2.513629435069,0.04892314183705098,-0.043450044629055724,0.0,488.33789956882794,488.42516166813795,486.5826213362071,487.3408502397705
1.0800000000000005,0.07272193285852407,0.005021854264851317,11.442602277033131,0.01826968374362714,6.239759717373731,0.0,0.23806424101273566,0.04298792478602728,2.5421139645178887,0.053996788750907104,-0.048447175372662556,0.0,419.9006077695415,419.4655724831156,420.31571202106676,420.7569713885018
1.1400000000000006,0.08793647579068155,0.008000478372980622,11.598637610502008,0.021312203129479457,6.236536274744466,0.0,0.2693915284363729,0.05662330213796636,2.6587745478209888,0.043155521698450626,-0.06720497398040415,0.0,449.2948714807693,447.7695196698638,449.1205259522041,448.24196881526075
